"gene"	"B6_2ng_B6_NT1"	"B6_10ng_B6_NT1"	"B6_10ng_B6_2ng"	"B6_50ng_B6_NT1"	"B6_50ng_B6_2ng"	"B6_50ng_B6_10ng"	"1h_NT1_B6_NT1"	"1h_NT1_B6_2ng"	"1h_NT1_B6_10ng"	"1h_NT1_B6_50ng"	"1h_2ng_B6_NT1"	"1h_2ng_B6_2ng"	"1h_2ng_B6_10ng"	"1h_2ng_B6_50ng"	"1h_2ng_1h_NT1"	"1h_10ng_B6_NT1"	"1h_10ng_B6_2ng"	"1h_10ng_B6_10ng"	"1h_10ng_B6_50ng"	"1h_10ng_1h_NT1"	"1h_10ng_1h_2ng"	"1h_50ng_B6_NT1"	"1h_50ng_B6_2ng"	"1h_50ng_B6_10ng"	"1h_50ng_B6_50ng"	"1h_50ng_1h_NT1"	"1h_50ng_1h_2ng"	"1h_50ng_1h_10ng"
"E2f1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"  1.025290"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"-0.873241"	NA
"Mfsd1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	" -1.217750"	NA	NA	NA	NA	"-1.413230"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Phc3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	" -0.966697"	NA	NA	NA	NA	"-1.155410"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Cyb561d1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	" -0.821588"	NA	NA	NA	NA	"-1.058830"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Tmem167b"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	" -0.756505"	NA	NA	NA	NA	"-0.979843"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Fsd1l"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"  1.177550"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"-1.458400"	NA
"Cdc20"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"  4.887670"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Ablim2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	" -2.177300"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Bst1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	" -2.090570"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"4933404O12Rik"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"  1.991170"	NA	"-1.420490"	" -1.572050"	NA	NA	"-1.352340"	"-1.761760"	NA	NA	NA	NA	NA	NA	NA
"Pds5b"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"  0.981749"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Slbp"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"  1.391960"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Scarb2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	" -0.961946"	NA	NA	NA	NA	"-1.050600"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"3110082I17Rik"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"  1.420670"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Ubl3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	" -0.953620"	NA	NA	NA	NA	"-1.032640"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Atp6v1e1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	" -1.153740"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Ttyh1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"  1.841640"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Hirip3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"  3.046950"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Pnpla2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	" -0.846202"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Sae1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"  1.145060"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"-0.893085"	NA
"Zfp36"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	" -1.093210"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	" 1.042280"	NA
"Eri2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"  1.240680"	NA	NA	NA	NA	NA	NA	"-1.213670"	NA	NA	NA	NA	NA	NA	NA
"Tubgcp2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"  0.977443"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Gm21811"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	" -2.174030"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Zfp709"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	" -1.493660"	NA	"-1.246610"	NA	NA	"-1.836270"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Rasd2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	" -1.404570"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Gins4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"  0.865416"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Rfwd3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"  0.810088"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Zfp809"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	" -1.202500"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Itga9"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"  2.084110"	NA	NA	NA	NA	" 2.089090"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Exosc7"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"  0.881104"	NA	NA	NA	NA	" 1.071430"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Piwil4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	" -3.635400"	NA	NA	NA	" 1.395850"	NA	NA	" 4.110990"	NA	NA	NA	NA	NA	" 3.678590"	NA
"Gm36958"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	" -1.669920"	NA	"-1.932700"	NA	NA	"-2.456120"	"-1.955280"	NA	NA	NA	NA	NA	NA	NA	" 1.819370"
"Smc1a"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"  1.282610"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Mospd2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	" -0.771497"	NA	NA	NA	NA	"-1.062350"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Cnnm3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"-1.123390"	" -0.850189"	NA	NA	"-1.065310"	"-0.849520"	NA	NA	NA	NA	NA	NA	NA
"Npas2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"-1.563770"	" -1.335170"	NA	NA	"-1.340950"	NA	NA	NA	NA	NA	NA	NA	NA
"Wdr75"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	" 1.267640"	NA	NA	" 1.657170"	" 1.218610"	NA	NA	NA	NA	NA	NA	NA	NA
"Stradb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"-1.544850"	" -1.436820"	NA	"-1.627850"	"-1.397900"	"-1.150610"	NA	NA	NA	NA	NA	NA	" 1.066280"
"Gm26293,Nop58"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	" 1.766820"	"  1.306650"	NA	" 1.788070"	" 1.469280"	NA	NA	NA	NA	NA	NA	NA	"-1.472150"
"Nbeal1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"-1.165270"	NA	NA	"-1.116050"	"-1.109690"	NA	NA	NA	NA	NA	NA	NA	NA
"Ctdsp1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"-0.900008"	" -0.788624"	"-0.764674"	"-0.755429"	"-0.831157"	NA	NA	NA	NA	NA	NA	NA	NA
"Wnt6"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	" 3.018550"	NA	NA	NA	" 2.668690"	NA	NA	NA	NA	NA	NA	NA	NA
"Fam134a"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"-0.907444"	" -0.893309"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"D2hgdh"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"-1.537520"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Fam174a"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"-0.801942"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Nifk"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	" 0.887503"	"  0.764789"	NA	" 0.992936"	" 0.838455"	NA	NA	NA	NA	NA	NA	NA	"-0.801476"
"Dstyk"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"-0.969654"	NA	NA	"-1.158380"	"-0.920990"	NA	NA	NA	NA	NA	NA	NA	NA
"Cyb5r1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"-1.084570"	NA	NA	NA	"-1.040760"	NA	NA	NA	NA	NA	NA	NA	NA
"Fam129a"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"-1.120510"	" -0.946120"	NA	"-1.083710"	"-0.822315"	"-0.910919"	NA	NA	NA	NA	NA	NA	NA
"Kifap3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"-1.010670"	" -0.941584"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Tlr5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"-3.810720"	" -4.366740"	NA	NA	"-3.721370"	"-3.737500"	NA	NA	NA	NA	NA	NA	NA
"Mrpl15"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	" 0.928311"	NA	NA	" 1.145580"	" 0.945440"	NA	NA	NA	NA	NA	NA	NA	NA
"Fam168b"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"-1.276910"	" -0.926716"	NA	"-1.236870"	"-1.267230"	"-0.935803"	NA	NA	NA	NA	NA	NA	" 0.829450"
"Ankrd44"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"-1.201180"	" -1.079270"	NA	"-0.823410"	"-0.896806"	NA	NA	NA	NA	NA	NA	NA	" 0.803265"
"Hspd1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	" 1.245300"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Tuba4a"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	" 1.235730"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Ptprn"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	" 4.473100"	"  3.675560"	" 2.092750"	NA	NA	" 1.967300"	" 3.919530"	" 3.122000"	NA	NA	NA	NA	NA
"Gm28188"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	" 0.000000"	"  0.000000"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Ddx18"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	" 1.104430"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Rassf5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"-1.195190"	NA	NA	NA	"-1.126260"	NA	NA	NA	NA	NA	NA	NA	NA
"Ppfia4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"-1.320950"	" -1.449900"	NA	NA	"-1.506330"	"-1.257290"	NA	NA	NA	NA	NA	NA	NA
"Rgsl1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	" 1.621940"	NA	" 2.238930"	NA	NA	NA	NA	NA	" 2.349160"	NA	NA	NA	NA
"Qsox1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"-1.172220"	" -0.917053"	NA	"-1.083670"	"-1.047950"	NA	NA	NA	NA	NA	NA	NA	" 0.912374"
"Rcsd1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"-1.397960"	" -1.197630"	"-0.760397"	"-1.391860"	"-1.022330"	"-0.930549"	NA	NA	NA	NA	NA	NA	" 1.155480"
"Uck2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	" 1.759980"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Ddr2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	" 0.000000"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Fcrla"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	" 0.000000"	NA	NA	NA	" 0.000000"	NA	NA	NA	NA	NA	NA	NA	NA
"Ostm1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"-0.812077"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Herc4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"-0.790640"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Ipmk"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"-0.776813"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Ggt5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"-1.290190"	" -1.288740"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Arid3a"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"-0.866658"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Zfr2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"-2.695460"	NA	NA	NA	"-2.430150"	NA	NA	NA	NA	NA	NA	NA	" 2.599320"
"Galnt4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"-1.167220"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Ctdsp2,Mir26a-2,Mir546"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"-2.011200"	" -1.856850"	NA	NA	"-1.840030"	"-1.450430"	NA	NA	NA	NA	NA	NA	" 1.323130"
"Arhgap9"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"-0.819353"	" -0.773927"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Timeless"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	" 1.592520"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Pan2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"-1.126580"	NA	NA	"-0.999340"	"-1.073380"	NA	NA	NA	NA	NA	NA	NA	" 0.906799"
"Ltv1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	" 1.061730"	"  0.804202"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Akap7"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"-1.418750"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	" 1.351830"
"Rnf217"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"-0.897343"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Cdh23"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"-5.300340"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Supv3l1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	" 1.126210"	NA	NA	" 1.403400"	" 1.113220"	NA	NA	NA	NA	NA	NA	NA	NA
"Smarcb1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	" 0.806061"	NA	NA	" 0.819659"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Pdxk"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"-0.760227"	NA	NA	NA	"-0.841724"	"-0.795911"	NA	NA	NA	NA	NA	NA	NA
"Mob3a"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"-0.872857"	" -0.850054"	NA	NA	"-0.821461"	NA	NA	NA	NA	NA	NA	NA	NA
"Gna15"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	" 0.953913"	NA	NA	" 0.992842"	" 1.040630"	NA	NA	NA	NA	NA	NA	NA	NA
"Pisd-ps1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"-1.616590"	" -1.374220"	NA	NA	"-1.206030"	"-1.289540"	NA	NA	NA	NA	NA	NA	NA
"Aff4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"-1.487550"	" -1.009290"	NA	"-1.395640"	"-1.270030"	"-0.941204"	NA	NA	NA	NA	NA	NA	" 0.949055"
"Slc36a1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"-1.345780"	" -1.273050"	NA	"-0.957196"	"-1.151700"	"-0.996910"	NA	NA	NA	NA	NA	NA	" 0.850065"
"Galnt10"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"-0.755055"	NA	NA	"-1.088770"	"-0.851761"	NA	NA	NA	NA	NA	NA	NA	NA
"Mrpl22"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	" 0.824687"	NA	NA	" 0.946946"	" 0.867674"	NA	NA	NA	NA	NA	NA	NA	NA
"Sh3bp5l"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"-0.922581"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Trpv2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"-0.792715"	NA	NA	NA	"-0.786597"	NA	NA	NA	NA	NA	NA	NA	NA
"Mybbp1a"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	" 1.351530"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Shpk"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"-1.245320"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"2610507B11Rik"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"-1.299670"	NA	NA	"-1.760150"	"-1.638620"	"-1.689490"	NA	NA	NA	NA	NA	NA	NA
"Taf15"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	" 0.915207"	NA	NA	" 1.134520"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Psmd3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	" 0.773250"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Psmd12"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	" 0.963632"	NA	NA	NA	" 0.798806"	NA	NA	NA	NA	NA	NA	NA	NA
"Tmem94"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"-0.971396"	NA	NA	"-0.944505"	"-1.008050"	NA	NA	NA	NA	NA	NA	NA	NA
"Cdk3-ps"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"-2.223040"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Gps1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	" 0.781837"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Narf"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"-0.831300"	NA	NA	"-1.174080"	"-0.995923"	NA	NA	NA	NA	NA	NA	NA	NA
"Rars"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	" 0.986500"	"  0.987946"	NA	NA	" 0.893290"	NA	NA	NA	NA	NA	NA	NA	NA
"Cdc42se2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"-0.869155"	" -0.757948"	NA	"-1.119560"	"-0.891980"	"-0.785166"	NA	NA	NA	NA	NA	NA	NA
"2010001A14Rik"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"-1.794090"	NA	NA	NA	"-1.430350"	NA	NA	NA	NA	NA	NA	NA	NA
"Natd1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"-1.529260"	" -1.391790"	"-1.050700"	"-0.874821"	"-1.424490"	NA	NA	NA	NA	NA	NA	NA	" 0.953063"
"Aldh3a2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"-0.867934"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Cox10"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	" 1.030930"	"  0.828226"	NA	" 0.801316"	" 0.796098"	NA	NA	NA	NA	NA	NA	NA	NA
"Chd3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"-0.982671"	NA	NA	NA	"-0.974615"	NA	NA	NA	NA	NA	NA	NA	NA
"2810408A11Rik"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"-2.710000"	" -2.847520"	NA	NA	"-3.740800"	"-2.964680"	NA	NA	NA	NA	NA	NA	NA
"C1qbp"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	" 0.789625"	NA	NA	" 1.104430"	NA	NA	NA	NA	NA	NA	NA	NA	"-0.814589"
"Wdr81"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"-0.784023"	NA	NA	NA	"-0.838799"	NA	NA	NA	NA	NA	NA	NA	NA
"Scpep1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"-0.987379"	NA	NA	NA	"-0.947364"	NA	NA	NA	NA	NA	NA	NA	NA
"Utp18"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	" 1.096270"	"  0.971242"	NA	NA	" 0.752209"	NA	NA	NA	NA	NA	NA	NA	NA
"Pdk2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"-1.322620"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Ormdl3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"-0.850135"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Kat2a"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	" 0.869712"	"  0.752359"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Ezh1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"-1.007090"	NA	NA	"-0.845592"	"-0.868874"	NA	NA	NA	NA	NA	NA	NA	" 0.785821"
"Vat1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"-1.026160"	NA	NA	NA	"-1.112230"	NA	NA	NA	NA	NA	NA	NA	NA
"Lsm12"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	" 0.824289"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Ubtf"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	" 0.741051"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Ftsj3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	" 1.274210"	"  1.078610"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Abca8b"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"-2.229710"	" -2.086720"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Fads6"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"-1.291480"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Hn1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	" 1.103480"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Fbf1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"-1.002780"	" -0.898412"	NA	NA	"-0.945959"	NA	NA	NA	NA	NA	NA	NA	NA
